STATEFIPS,STATE,zipcode,agi_stub,N1,mars1,MARS2,MARS4,PREP,N2,NUMDEP,TOTAL_VITA,VITA,TCE,VITA_EIC,RAL,RAC,ELDERLY,A00100,N02650,A02650,N00200,A00200,N00300,A00300,N00600,A00600,N00650,A00650,N00700,A00700,N00900,A00900,N01000,A01000,N01400,A01400,N01700,A01700,SCHF,N02300,A02300,N02500,A02500,N26270,A26270,N02900,A02900,N03220,A03220,N03300,A03300,N03270,A03270,N03150,A03150,N03210,A03210,N03230,A03230,N03240,A03240,N04470,A04470,A00101,N17000,A17000,N18425,A18425,N18450,A18450,N18500,A18500,N18800,A18800,N18300,A18300,N19300,A19300,N19500,A19500,N19530,A19530,N19550,A19550,N19570,A19570,N19700,A19700,N20800,A20800,n21020,a21020,N04800,A04800,N05800,A05800,N09600,A09600,N05780,A05780,N07100,A07100,N07300,A07300,N07180,A07180,N07230,A07230,N07240,A07240,N07220,A07220,N07260,A07260,N09400,A09400,N85770,A85770,N85775,A85775,N09750,A09750,N10600,A10600,N59660,A59660,N59720,A59720,N11070,A11070,N10960,A10960,N11560,A11560,N06500,A06500,N10300,A10300,N85530,A85530,N85300,A85300,N11901,A11901,N11902,A11902
1,AL,35064,1,2220,1120,110,970,1330,4020,1860,100,100,0,40,100,1070,370,31110,2220,31559,1900,27358,90,36,30,26,20,25,50,16,430,434,0,0,50,304,270,2941,0,70,246,100,209,0,0,370,449,0,0,0,0,0,0,30,73,50,57,0,0,0,0,160,2267,2709,100,521,70,63,70,64,80,69,100,41,150,258,80,422,0,0,0,0,30,26,0,0,150,521,60,282,0,0,860,4363,870,472,0,0,50,19,360,121,0,0,50,15,90,42,120,24,110,34,0,0,270,341,110,395,120,413,50,26,2150,7738,1350,4564,1280,4237,880,1139,270,257,60,36,590,349,890,736,0,0,0,0,120,77,2060,7066
1,AL,35064,2,1230,550,120,530,650,2300,940,50,50,0,0,30,410,340,44051,1230,44366,1080,36892,130,61,50,35,40,16,180,111,150,-832,60,28,60,594,290,5846,0,30,115,230,1700,30,51,190,315,50,12,0,0,0,0,40,140,100,127,40,131,0,0,390,5685,14903,190,838,290,514,80,118,230,219,270,91,390,969,220,900,0,0,0,0,80,107,0,0,370,1675,190,1019,30,139,1200,21946,1200,2715,0,0,30,17,580,556,0,0,100,61,150,173,220,35,280,238,70,46,30,25,40,110,50,135,30,17,1220,4983,380,782,330,694,250,306,120,115,0,0,930,2158,970,2216,0,0,0,0,180,204,1050,2959
1,AL,35064,3,450,170,110,160,250,850,290,20,20,0,0,0,110,180,27370,450,27564,390,20133,90,21,30,28,20,12,150,117,60,184,0,0,30,504,170,4603,0,20,54,120,1804,0,0,110,194,30,7,0,0,0,0,0,0,60,78,0,0,0,0,250,4252,15379,70,329,200,540,40,73,190,187,180,76,250,904,170,841,0,0,0,0,50,54,0,0,240,1450,100,532,0,0,450,17614,450,2488,0,0,0,0,180,278,0,0,30,15,50,76,0,0,100,135,40,49,30,128,0,0,0,0,0,0,440,2967,0,0,0,0,0,0,40,41,0,0,440,2210,440,2319,0,0,0,0,110,288,340,925
1,AL,35064,4,210,50,110,60,130,410,100,0,0,0,0,0,50,110,17674,210,17740,170,11164,80,28,30,46,20,12,90,83,20,13,40,112,30,555,110,3702,0,0,0,80,1799,0,0,50,66,30,6,0,0,0,0,0,0,20,13,0,0,0,0,160,3116,13459,30,195,110,382,30,77,140,164,120,63,160,705,120,578,0,0,0,0,40,45,0,0,150,1211,50,266,20,124,210,12319,210,1893,0,0,0,0,50,107,0,0,20,12,30,44,0,0,20,28,40,32,0,0,0,0,0,0,0,0,210,2006,0,0,0,0,0,0,30,25,0,0,200,1787,210,1861,0,0,0,0,80,283,130,422
1,AL,35064,5,190,20,150,0,120,460,120,0,0,0,0,0,0,110,26266,190,26448,170,15309,100,65,30,33,30,30,110,131,40,104,0,0,50,1413,110,5945,0,0,0,80,1838,0,0,60,182,0,0,0,0,0,0,0,0,20,30,0,0,0,0,160,4492,22586,20,109,140,683,20,45,150,194,140,85,160,1039,120,669,0,0,0,0,0,0,0,0,160,1896,40,244,0,0,190,19603,190,3505,0,0,0,0,50,73,0,0,0,0,0,0,0,0,20,21,0,0,20,36,0,0,0,0,0,0,190,3417,0,0,0,0,0,0,0,0,0,0,190,3432,190,3556,0,0,0,0,90,456,90,267
1,AL,35064,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,AL,35068,1,1230,750,160,290,650,1980,710,20,20,0,0,20,300,250,17044,1230,17330,920,13273,130,114,50,104,50,66,30,12,240,1081,40,38,90,517,170,1766,0,50,165,90,239,30,209,240,286,0,0,0,0,20,81,0,0,40,37,0,0,0,0,110,1427,1680,70,422,40,44,50,32,50,57,60,13,100,161,60,392,0,0,0,0,0,0,0,0,90,198,40,129,0,0,530,3402,540,366,0,0,30,12,170,66,20,1,20,7,60,35,60,10,40,11,0,0,180,260,80,271,80,277,20,13,1110,2961,460,1324,420,1189,330,440,100,88,50,24,430,300,580,576,0,0,0,0,130,143,1040,2524
1,AL,35068,2,1160,570,270,280,580,2270,840,30,30,0,0,30,300,220,42638,1160,43065,1030,36678,160,124,60,119,50,89,170,85,150,373,50,59,60,647,190,3558,0,0,0,180,1156,0,0,260,427,50,13,0,0,0,0,30,76,130,152,0,0,0,0,320,4397,12823,120,625,250,461,50,66,220,200,200,54,320,813,210,1073,0,0,20,15,120,169,0,0,270,953,130,754,0,0,1110,21795,1110,2708,0,0,40,25,470,421,0,0,80,46,100,105,170,30,260,225,30,15,90,178,50,171,60,195,40,20,1140,4916,270,545,230,458,240,383,60,56,0,0,900,2288,950,2494,0,0,0,0,150,212,1010,2612
1,AL,35068,3,700,280,240,130,350,1390,450,0,0,0,0,0,110,140,42401,700,42767,640,36101,170,75,60,92,50,73,210,127,100,478,40,16,50,616,150,3164,0,40,141,110,1723,30,297,210,366,0,0,0,0,30,194,0,0,110,122,50,116,0,0,350,5529,21780,80,469,310,840,40,80,280,268,250,69,350,1285,270,1568,0,0,0,0,120,162,0,0,300,1328,120,633,20,160,690,27809,690,3998,0,0,0,0,280,391,0,0,50,27,60,82,40,7,180,247,40,23,70,124,0,0,0,0,0,0,690,4879,0,0,0,0,30,41,40,40,0,0,670,3607,670,3770,0,0,0,0,160,347,540,1444
1,AL,35068,4,330,70,200,60,180,730,200,0,0,0,0,0,60,80,28137,330,28340,300,23448,80,31,40,47,30,31,130,105,40,263,30,20,20,385,90,2610,0,0,0,60,1103,0,0,90,203,20,6,0,0,0,0,0,0,60,64,0,0,0,0,190,3635,16568,40,287,180,664,20,37,170,184,140,47,190,937,170,1018,0,0,0,0,90,124,0,0,170,887,50,287,0,0,330,19989,330,3026,0,0,0,0,120,208,30,1,30,18,40,47,0,0,90,129,0,0,30,61,0,0,0,0,0,0,330,3457,0,0,0,0,0,0,40,35,0,0,330,2817,330,2896,0,0,0,0,90,214,240,770
1,AL,35068,5,310,40,250,0,170,790,240,0,0,0,0,0,30,90,39596,310,40292,290,32535,120,68,70,152,60,113,180,192,70,1349,50,67,30,870,90,2885,0,0,0,60,1573,40,3880,150,696,0,0,0,0,0,0,0,0,60,77,0,0,0,0,220,4924,28178,20,209,210,1213,0,0,190,242,190,83,220,1573,210,1356,0,0,0,0,0,0,0,0,200,1353,60,388,0,0,310,30325,310,5247,0,0,0,0,130,188,0,0,40,20,30,34,0,0,60,85,20,11,60,201,0,0,0,0,0,0,310,5339,0,0,0,0,0,0,0,0,0,0,310,5061,310,5304,0,0,0,0,140,834,200,729
1,AL,35068,6,30,0,30,0,20,70,0,0,0,0,0,0,0,0,9177,30,9177,30,5012,20,38,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,30,792,8933,0,0,30,342,0,0,30,67,0,0,30,420,0,0,0,0,0,0,0,0,0,0,30,300,0,0,0,0,30,7701,30,1930,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,30,2054,0,0,0,0,0,0,0,0,0,0,30,1923,30,1992,0,0,0,0,0,0,0,0
1,AL,35071,1,2240,1500,330,370,1180,2920,790,40,40,0,0,40,380,590,28842,2240,29374,1610,20111,410,329,200,377,180,267,70,30,340,2277,130,60,240,1563,420,3991,0,50,194,190,362,20,56,400,532,0,0,0,0,40,110,0,0,80,60,20,66,0,0,240,3541,3777,190,1571,90,73,130,107,130,140,140,41,240,375,110,577,0,0,0,0,20,29,0,0,200,575,70,237,0,0,1010,6154,1020,648,0,0,60,24,260,82,0,0,30,11,80,37,100,15,60,17,0,0,270,410,170,698,170,692,40,21,2000,4334,670,1732,590,1531,400,486,130,115,90,48,870,565,1090,1005,0,0,0,0,210,237,1860,3547
1,AL,35071,2,1820,870,510,380,1010,3320,1010,20,20,0,0,40,340,500,66990,1820,67739,1470,50796,390,376,180,512,160,349,220,121,240,1967,120,116,210,2024,440,8171,0,40,169,430,3016,40,375,390,749,50,13,0,0,30,188,30,107,170,170,30,84,0,0,460,6715,17916,200,1626,290,522,140,159,340,359,270,73,460,1148,310,1611,0,0,0,0,120,149,0,0,400,1431,130,642,0,0,1760,34741,1750,4283,0,0,60,43,720,679,50,1,120,72,170,177,260,48,370,353,40,15,160,391,100,374,90,364,60,32,1760,7240,400,773,320,637,270,368,120,107,30,21,1480,3605,1560,4053,0,0,0,0,320,504,1480,3656
1,AL,35071,3,1210,400,600,160,680,2620,800,0,0,0,0,0,150,370,74262,1210,75140,1020,56743,390,334,170,393,150,274,340,203,170,1271,120,184,150,1994,340,8387,0,60,172,300,4670,50,754,350,878,40,10,0,0,40,313,40,201,160,165,0,0,0,0,540,9060,33275,140,992,420,1129,100,140,430,496,340,104,530,1915,420,2338,0,0,50,49,140,191,0,0,480,2360,160,1157,0,0,1210,47274,1200,6549,0,0,30,29,500,731,30,1,110,61,90,117,90,15,350,518,40,14,130,344,0,0,30,98,30,33,1200,7968,0,0,0,0,60,75,70,63,0,0,1150,5818,1170,6209,0,0,0,0,290,651,910,2373
1,AL,35071,4,850,120,670,60,520,2180,660,0,0,0,0,0,90,270,74282,850,74925,750,56284,330,260,140,421,130,299,330,255,150,1215,100,202,130,2302,270,7948,40,0,0,240,4960,40,660,250,643,40,11,0,0,0,0,0,0,120,148,0,0,0,0,480,9525,41878,90,932,410,1519,60,123,430,572,320,108,480,2371,410,2515,40,171,0,0,130,198,0,0,430,2484,140,854,40,205,850,51444,850,7375,0,0,0,0,400,729,30,2,110,69,100,131,0,0,300,479,30,18,100,280,0,0,0,0,0,0,840,8258,0,0,0,0,0,0,80,73,0,0,850,6646,850,6988,0,0,0,0,250,720,590,1892
1,AL,35071,5,1160,100,1040,30,710,3340,1140,0,0,0,0,0,70,300,154137,1160,155425,1070,122229,580,681,310,1078,300,856,710,713,200,2622,250,1335,200,4809,350,11913,0,30,91,230,5545,120,3058,400,1288,70,17,0,0,30,265,30,178,170,173,30,56,0,0,890,20852,121529,80,815,830,4707,60,133,860,1319,660,281,890,6538,780,5609,0,0,50,39,40,37,0,0,840,6179,210,1398,0,0,1160,116394,1160,19745,0,0,0,0,560,832,80,3,190,113,150,216,0,0,310,407,50,31,160,517,0,0,0,0,0,0,1150,20610,0,0,0,0,0,0,130,128,0,0,1150,18914,1160,19635,0,0,0,0,440,1828,700,2648
1,AL,35071,6,200,0,180,0,140,570,190,0,0,0,0,0,0,70,60594,200,61632,180,39503,140,348,100,906,100,720,130,222,50,2031,100,1788,30,1841,50,2521,0,0,0,40,880,80,10705,80,1038,0,0,0,0,20,311,0,0,0,0,0,0,0,0,180,6493,56383,0,0,170,2039,0,0,180,417,140,67,180,2563,150,1315,0,0,0,0,0,0,0,0,180,2534,30,240,0,0,200,51955,200,12744,60,138,0,0,60,34,40,8,0,0,0,0,0,0,0,0,0,0,50,297,0,0,0,0,0,0,200,11905,0,0,0,0,0,0,0,0,0,0,200,12710,200,13235,70,61,80,107,110,2072,80,514
1,AL,35072,1,780,380,130,260,420,1370,530,70,30,40,0,60,240,140,10611,780,10723,660,9076,50,21,30,101,30,55,0,0,100,677,30,-5,30,201,100,775,40,30,68,30,57,0,0,100,112,0,0,0,0,20,112,0,0,0,0,0,0,0,0,30,479,553,30,228,0,0,0,0,0,0,0,0,30,33,0,0,0,0,0,0,0,0,0,0,30,90,0,0,0,0,300,1632,310,179,0,0,0,0,90,26,0,0,0,0,0,0,40,6,30,10,0,0,80,113,50,229,50,227,30,13,740,2250,400,1189,370,1111,240,298,30,34,30,9,250,153,340,281,0,0,0,0,60,47,700,2009
1,AL,35072,2,570,190,190,190,320,1250,490,0,0,0,0,30,180,120,20276,570,20433,510,17776,80,41,0,0,0,0,50,29,70,345,0,0,30,343,100,1401,0,30,42,110,594,20,1893,90,157,20,6,0,0,0,0,0,0,40,32,0,0,0,0,90,1248,3433,40,248,80,118,50,60,70,25,70,21,90,172,70,236,0,0,0,0,30,27,0,0,80,276,60,339,0,0,550,9378,550,1114,0,0,40,34,270,226,0,0,60,30,60,53,120,28,160,143,30,17,50,98,40,129,40,152,20,13,550,2474,200,438,170,367,140,170,40,31,0,0,420,888,450,1004,0,0,0,0,70,131,500,1583
1,AL,35072,3,220,40,130,50,140,530,180,0,0,0,0,0,50,60,13030,220,13113,190,10453,50,22,30,57,30,29,30,18,30,337,30,54,0,0,60,1122,0,20,73,60,834,0,0,40,83,0,0,0,0,0,0,0,0,30,18,0,0,0,0,50,818,3159,30,158,40,112,0,0,40,27,40,7,50,162,40,174,0,0,0,0,0,0,0,0,40,213,20,147,0,0,220,8223,220,1124,0,0,0,0,110,156,0,0,0,0,0,0,0,0,70,110,20,12,20,50,0,0,0,0,0,0,210,1435,0,0,0,0,0,0,0,0,0,0,210,968,210,1030,0,0,0,0,40,123,180,515
1,AL,35072,4,150,20,120,0,90,390,130,0,0,0,0,0,20,40,12519,150,12596,130,9800,60,24,0,0,0,0,40,33,40,461,0,0,30,492,50,1154,30,0,0,30,699,0,0,40,77,0,0,0,0,0,0,0,0,0,0,0,0,0,0,50,1043,4423,0,0,50,150,0,0,40,24,40,10,50,198,40,209,0,0,0,0,0,0,0,0,40,244,40,457,0,0,150,8716,150,1219,0,0,0,0,70,117,0,0,20,10,30,35,0,0,50,75,0,0,30,90,0,0,0,0,0,0,140,1475,0,0,0,0,0,0,20,17,0,0,150,1103,150,1202,0,0,0,0,40,113,100,381
1,AL,35072,5,100,0,90,0,70,260,80,0,0,0,0,0,0,30,15160,100,15343,90,10150,50,32,30,100,20,64,40,41,0,0,20,125,0,0,40,1417,0,0,0,30,862,0,0,20,183,0,0,0,0,0,0,0,0,0,0,0,0,0,0,60,1749,10344,0,0,50,326,0,0,50,88,40,13,60,419,40,214,0,0,0,0,0,0,0,0,60,722,0,0,0,0,100,11953,90,2452,0,0,0,0,40,56,0,0,0,0,0,0,0,0,20,22,0,0,0,0,0,0,0,0,0,0,100,2675,0,0,0,0,0,0,0,0,0,0,90,2395,100,2479,0,0,0,0,30,131,60,269
1,AL,35072,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,AL,35073,1,370,200,60,100,220,620,220,0,0,0,0,0,110,90,4858,370,4920,270,3353,40,22,0,0,0,0,0,0,70,451,0,0,30,192,70,826,0,30,58,30,51,0,0,60,62,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,230,300,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,123,0,0,140,834,140,89,0,0,0,0,40,16,0,0,0,0,0,0,0,0,0,0,0,0,50,70,40,163,40,190,20,15,350,926,170,483,160,428,110,116,20,20,0,0,110,73,170,157,0,0,0,0,30,30,330,798
1,AL,35073,2,310,120,110,90,180,640,220,0,0,0,0,40,80,90,10986,310,11046,260,8742,50,23,30,75,50,70,30,13,40,44,30,28,20,234,80,1412,0,0,0,80,502,0,0,40,60,0,0,0,0,0,0,0,0,30,24,0,0,0,0,60,823,2139,50,312,30,53,30,33,50,51,60,14,80,166,40,156,0,0,0,0,0,0,0,0,70,220,0,0,0,0,300,5226,300,628,0,0,0,0,130,105,0,0,20,14,50,46,70,16,90,67,30,12,30,46,0,0,0,0,0,0,300,1228,90,165,70,133,60,86,30,27,0,0,240,523,260,557,0,0,0,0,50,48,260,716
1,AL,35073,3,130,50,80,0,80,290,90,0,0,0,0,0,40,40,7848,130,7888,110,6039,30,7,20,18,0,0,30,17,30,134,0,0,40,493,40,815,0,0,0,40,572,0,0,20,40,0,0,0,0,0,0,0,0,0,0,0,0,0,0,40,797,2404,30,200,50,125,0,0,50,37,30,10,40,119,40,164,0,0,0,0,0,0,0,0,50,350,40,246,0,0,130,4879,130,666,0,0,0,0,50,70,0,0,0,0,0,0,0,0,30,46,0,0,0,0,0,0,0,0,0,0,130,839,0,0,0,0,0,0,0,0,0,0,120,597,120,634,0,0,0,0,30,64,90,265
1,AL,35073,4,70,0,60,0,50,170,50,0,0,0,0,0,0,50,6211,70,6240,70,4408,30,15,0,0,0,0,20,15,0,0,0,0,0,0,50,1418,0,0,0,40,980,0,0,30,29,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,420,1881,0,0,0,0,0,0,0,0,0,0,20,83,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,70,4473,70,650,0,0,0,0,40,56,0,0,0,0,0,0,0,0,30,40,0,0,0,0,0,0,0,0,0,0,70,715,0,0,0,0,0,0,0,0,0,0,70,611,70,621,0,0,0,0,30,45,50,138
1,AL,35073,5,50,0,50,0,40,120,30,0,0,0,0,0,0,0,6494,50,6494,50,5268,20,8,0,0,0,0,30,31,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,30,767,4476,0,0,20,115,0,0,30,42,30,10,30,223,20,158,0,0,0,0,0,0,0,0,30,249,0,0,0,0,50,4994,50,839,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,50,885,0,0,0,0,0,0,0,0,0,0,50,822,50,837,0,0,0,0,20,63,30,105
1,AL,35073,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,AL,35077,1,2210,1300,470,410,1240,3560,1160,0,0,0,0,80,490,490,28559,2210,29019,1700,21606,270,183,100,162,90,115,30,9,380,2995,110,77,120,850,330,2955,60,60,170,110,176,30,62,410,460,0,0,0,0,30,112,0,0,40,28,30,78,0,0,110,1381,1659,70,566,40,35,60,39,50,24,60,12,100,124,40,262,0,0,0,0,0,0,0,0,80,231,40,158,0,0,880,5055,900,549,0,0,70,21,200,52,0,0,0,0,40,14,90,15,50,17,0,0,340,478,150,638,160,676,50,26,2020,5081,870,2341,760,2036,520,647,80,67,90,41,790,496,1080,1006,0,0,0,0,190,180,1910,4241
1,AL,35077,2,1480,610,550,270,850,3100,1070,0,0,0,0,50,330,320,53812,1480,54278,1310,45559,250,100,90,176,80,122,90,49,160,1500,70,28,80,788,250,4470,50,40,148,250,1563,30,266,250,466,30,8,0,0,40,209,0,0,90,69,0,0,0,0,200,3071,7691,100,647,140,230,60,63,130,95,130,18,200,426,120,681,0,0,0,0,30,36,0,0,160,608,80,619,0,0,1410,26559,1410,3255,0,0,60,46,600,486,0,0,40,23,80,70,260,64,350,327,40,22,130,308,70,249,90,309,80,57,1460,6584,420,904,340,748,300,455,80,59,0,0,1140,2768,1210,3163,0,0,0,0,190,250,1280,3627
1,AL,35077,3,700,150,490,60,470,1760,570,0,0,0,0,0,120,180,42845,700,43131,630,34775,210,160,80,132,80,97,110,75,90,489,70,98,70,892,170,4332,50,0,0,160,2217,50,475,140,286,20,5,0,0,0,0,0,0,50,45,0,0,0,0,180,3029,11018,60,470,140,331,40,40,140,100,120,22,180,498,130,651,0,0,0,0,20,32,0,0,140,639,70,683,0,0,700,26620,700,3550,0,0,0,0,350,508,40,2,50,24,40,54,100,16,250,395,0,0,60,135,0,0,0,0,20,16,700,4675,0,0,0,0,40,41,30,29,0,0,670,3042,670,3219,0,0,0,0,120,240,580,1662
1,AL,35077,4,440,40,380,20,320,1200,370,0,0,0,0,0,40,120,38127,440,38393,400,30757,150,64,60,166,60,121,120,88,100,714,60,272,50,778,130,3457,30,30,93,100,1920,0,0,130,266,30,7,0,0,20,160,40,174,40,40,0,0,0,0,160,3144,14198,50,438,140,489,30,46,140,74,120,32,160,628,140,786,0,0,0,0,40,53,0,0,140,630,70,674,0,0,440,26628,440,3716,0,0,0,0,210,348,0,0,40,19,50,72,0,0,150,246,30,7,60,183,0,0,0,0,0,0,440,4354,0,0,0,0,0,0,40,35,0,0,440,3367,440,3589,0,0,0,0,110,316,320,1057
1,AL,35077,5,350,30,310,0,250,950,310,0,0,0,0,0,20,130,44424,350,45267,310,34982,170,123,100,498,100,403,180,204,50,1111,80,881,50,1560,120,3991,40,0,0,100,2238,60,6723,120,843,20,6,0,0,0,0,0,0,30,39,0,0,0,0,210,4619,27559,0,0,190,981,0,0,190,148,180,43,210,1230,190,1370,0,0,0,0,0,0,0,0,180,1494,60,535,0,0,350,34187,350,5722,0,0,0,0,140,180,20,1,20,11,40,49,0,0,80,108,0,0,40,182,0,0,0,0,0,0,340,5896,0,0,0,0,0,0,40,29,0,0,350,5544,350,5759,0,0,0,0,150,1377,210,855
1,AL,35077,6,30,0,30,0,30,80,0,0,0,0,0,0,0,0,13137,30,13137,30,4721,20,107,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,30,1385,11494,0,0,30,389,0,0,30,50,0,0,30,449,0,0,0,0,0,0,0,0,0,0,30,449,0,0,0,0,30,11505,30,3001,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,30,3096,0,0,0,0,0,0,0,0,0,0,30,2989,30,3116,0,0,0,0,0,0,0,0
1,AL,35078,1,350,190,60,90,210,590,210,0,0,0,0,20,90,80,4635,350,4684,270,3486,50,25,30,48,20,21,0,0,50,413,20,27,30,161,50,422,0,20,65,30,53,0,0,60,49,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,130,744,140,83,0,0,20,9,50,16,0,0,0,0,20,21,0,0,0,0,0,0,50,67,40,185,20,114,20,12,320,887,160,443,140,394,100,112,0,0,0,0,110,67,160,140,0,0,0,0,30,26,300,771
1,AL,35078,2,230,90,70,70,130,480,180,0,0,0,0,0,60,40,8158,230,8277,210,6794,30,26,0,0,0,0,30,12,50,509,0,0,30,395,30,526,30,0,0,30,213,0,0,50,119,0,0,0,0,0,0,0,0,40,29,0,0,0,0,60,917,1991,40,253,30,47,40,46,30,38,40,13,60,140,30,162,0,0,0,0,20,27,0,0,50,214,40,232,0,0,220,3787,220,446,0,0,0,0,100,95,0,0,0,0,0,0,50,8,80,67,0,0,40,119,0,0,20,82,0,0,230,951,80,163,60,132,50,60,50,44,0,0,170,350,190,429,0,0,0,0,40,54,190,574
1,AL,35078,3,110,40,60,30,70,250,80,0,0,0,0,0,30,50,6764,110,6910,90,5068,40,23,30,82,20,47,30,24,0,0,20,-3,0,0,50,1044,0,0,0,40,682,30,476,50,146,0,0,0,0,0,0,0,0,0,0,0,0,0,0,50,813,2844,30,168,40,94,0,0,40,51,30,9,50,170,30,161,0,0,0,0,0,0,0,0,40,228,0,0,0,0,110,4262,110,585,0,0,0,0,40,58,0,0,0,0,20,30,0,0,30,41,0,0,0,0,0,0,0,0,0,0,110,751,0,0,0,0,0,0,0,0,0,0,100,528,110,585,0,0,0,0,40,88,80,202
1,AL,35078,4,80,0,60,0,50,190,50,0,0,0,0,0,0,0,6628,80,6628,70,5467,20,8,0,0,0,0,20,16,30,138,0,0,30,281,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,40,705,3144,0,0,30,108,0,0,30,37,30,9,40,163,30,165,0,0,0,0,0,0,0,0,30,178,30,313,0,0,80,4669,80,671,0,0,0,0,30,41,0,0,0,0,0,0,0,0,20,33,0,0,20,31,0,0,0,0,0,0,80,846,0,0,0,0,0,0,0,0,0,0,80,630,80,661,0,0,0,0,0,0,60,213
1,AL,35078,5,100,0,90,0,70,270,90,0,0,0,0,0,0,30,16617,100,16769,90,12014,50,39,30,227,30,165,50,102,0,0,30,57,0,0,30,1336,0,0,0,20,563,0,0,30,152,0,0,0,0,0,0,0,0,0,0,0,0,0,0,70,1830,13059,0,0,60,498,0,0,60,94,60,21,70,648,60,456,0,0,0,0,0,0,0,0,60,558,0,0,0,0,100,12978,100,2592,0,0,0,0,50,49,0,0,0,0,0,0,0,0,20,31,0,0,0,0,0,0,0,0,0,0,100,2736,0,0,0,0,0,0,0,0,0,0,100,2541,100,2631,0,0,0,0,40,283,50,241
1,AL,35078,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,AL,35079,1,1110,670,250,170,600,1630,480,0,0,0,0,30,200,240,13846,1110,14055,860,10391,140,96,50,50,40,38,0,0,180,845,40,32,90,684,180,1766,20,20,42,70,130,20,240,200,209,0,0,0,0,30,106,0,0,30,32,0,0,0,0,60,738,804,40,273,0,0,40,29,30,18,30,6,60,81,30,141,0,0,0,0,0,0,0,0,40,127,0,0,0,0,450,2541,470,279,0,0,30,13,120,35,0,0,0,0,40,16,50,9,0,0,0,0,150,207,90,406,100,400,0,0,1020,2401,380,1043,340,894,220,276,50,38,60,35,390,244,540,473,0,0,0,0,90,72,960,1979
